System Version: 1011601622
No	Value		Title
1	512		*Motion board base address
3	512		*I/O board base address
5	12		*I/O type(0:EIO;1:H+3R1;2:H+R2+2R1;3:2R2+4R1)
9	7		*Servo type(1:S4;2:S4+A;3:S4+B;5:S6;6:60IA;101:DELTA;102:M2)
10	1		*Servo alarm contact type(0:A;1:B;2:Disable)
11	0		*Servo board clock source(0:Board;1:Bus;2:VIA)
12	500		*Servo6 max. pulse rate(Kpps)
13	1		*The number of servo board
14	0		*Abs encoder type(0:Mitsubishi;1:SANYO)
15	1		the I/O board digital filter method
17	2		*Control precision,BLU(1:10;2:1;3:0.1 micro)
21	1		*Port no. for X axis
22	2		*Port no. for Y axis
23	3		*Port no. for Z axis
24	0		*Port no. for 4th axis
25	0		*Port no. for 5th axis
26	0		*Port no. for 6th axis
27	0		*Port no. for 7th axis
28	0		*Port no. for 8th axis
29	0		*Port no. for 9th axis
30	0		*Port no. for 10th axis
31	0		*Port no. for 11th axis
32	0		*Port no. for 12th axis
33	0		*Port no. for 13th axis
34	0		*Port no. for 14th axis
35	0		*Port no. for 15th axis
36	0		*Port no. for 16th axis
41	0		X axis motor polarity
42	0		Y axis motor polarity
43	0		Z axis motor polarity
44	0		4th axis motor polarity
45	0		5th axis motor polarity
46	0		6th axis motor polarity
47	0		7th axis motor polarity
48	0		8th axis motor polarity
49	0		9th axis motor polarity
50	0		10th axis motor polarity
51	0		11th axis motor polarity
52	0		12th axis motor polarity
53	0		13th axis motor polarity
54	0		14th axis motor polarity
55	0		15th axis motor polarity
56	0		16th axis motor polarity
61	2500		X axis encoder resolution(En:p/rev;Sc:p/mm)
62	2500		Y axis encoder resolution(En:p/rev;Rl:p/mm)
63	2500		Z axis encoder resolution(En:p/rev;Rl:p/mm)
64	2500		4th axis encoder resolution(En:p/rev;Rl:p/mm)
65	1000		5th axis encoder resolution(En:p/rev;Rl:p/mm)
66	1000		6th axis encoder resolution(En:p/rev;Rl:p/mm)
67	1000		7th axis encoder resolution(En:p/rev;Rl:p/mm)
68	1000		8th axis encoder resolution(En:p/rev;Rl:p/mm)
69	1000		9th axis encoder resolution(En:p/rev;Rl:p/mm)
70	1000		10th axis encoder resolution(En:p/rev;Rl:p/mm)
71	1000		11th axis encoder resolution(En:p/rev;Rl:p/mm)
72	1000		12th axis encoder resolution(En:p/rev;Rl:p/mm)
73	1000		13th axis encoder resolution(En:p/rev;Rl:p/mm)
74	1000		14th axis encoder resolution(En:p/rev;Rl:p/mm)
75	1000		15th axis encoder resolution(En:p/rev;Rl:p/mm)
76	1000		16th axis encoder resolution(En:p/rev;Rl:p/mm)
81	4		X axis encoder scaling factor
82	4		Y axis encoder scaling factor
83	4		Z axis encoder scaling factor
84	4		4th axis encoder scaling factor
85	4		5th axis encoder scaling factor
86	4		6th axis encoder scaling factor
87	4		7th axis encoder scaling factor
88	4		8th axis encoder scaling factor
89	4		9th axis encoder scaling factor
90	4		10th axis encoder scaling factor
91	4		11th axis encoder scaling factor
92	4		12th axis encoder scaling factor
93	4		13th axis encoder scaling factor
94	4		14th axis encoder scaling factor
95	4		15th axis encoder scaling factor
96	4		16th axis encoder scaling factor
101	200		X axis motor gain(RPM/V)
102	200		Y axis motor gain(RPM/V)
103	200		Z axis motor gain(RPM/V)
104	200		4th axis motor gain(RPM/V)
105	200		5th axis motor gain(RPM/V)
106	200		6th axis motor gain(RPM/V)
107	200		7th axis motor gain(RPM/V)
108	200		8th axis motor gain(RPM/V)
109	200		9th axis motor gain(RPM/V)
110	200		10th axis motor gain(RPM/V)
111	200		11th axis motor gain(RPM/V)
112	200		12th axis motor gain(RPM/V)
113	200		13th axis motor gain(RPM/V)
114	200		14th axis motor gain(RPM/V)
115	200		15th axis motor gain(RPM/V)
116	200		16th axis motor gain(RPM/V)
121	10		X axis gear number at screw side
122	1		X axis gear number at motor side
123	10		Y axis gear number at screw side
124	1		Y axis gear number at motor side
125	1		Z axis gear number at screw side
126	1		Z axis gear number at motor side
127	1		4th axis gear number at screw side
128	1		4th axis gear number at motor side
129	1		5th axis gear number at screw side
130	1		5th axis gear number at motor side
131	1		6th axis gear number at screw side
132	1		6th axis gear number at motor side
133	1		7th axis gear number at screw side
134	1		7th axis gear number at motor side
135	1		8th axis gear number at screw side
136	1		8th axis gear number at motor side
137	1		9th axis gear number at screw side
138	1		9th axis gear number at motor side
139	1		10th axis gear number at screw side
140	1		10th axis gear number at motor side
141	1		11th axis gear number at screw side
142	1		11th axis gear number at motor side
143	1		12th axis gear number at screw side
144	1		12th axis gear number at motor side
145	1		13th axis gear number at screw side
146	1		13th axis gear number at motor side
